Wind Speed (m/s),Actual Blade Angle,Predicted Blade Angle,Power Output (Actual) (W),Power Output (Predicted) (W),Difference in Power Output (W)
5.447604179,2.70502247348843,1.62984229185158,187668.515495458,182317.040934747,-5351.47456071136
2.953716993,0.390828099879216,0.580431732463434,28078.438419473,28228.8664881975,150.428068724468
5.180058002,1.49209938384277,1.34063608363033,156163.055714781,155514.888791277,-648.166923503799
5.702880859,1.26327394475513,0.993564652652789,207073.959765556,205533.84038234,-1540.1193832162
8.195476532,0.533775693863051,1.11705918084359,602198.363734642,612083.391559416,9885.02782477392
2.254358053,1.27624227014697,0.591178451327211,12795.773969271,12554.1303691742,-241.643600096833
1.532505989,0.73796494184815,0.190178594374657,3960.15278186375,3899.45213392972,-60.7006479340389
6.199008942,4.84405025666072,5.31694525010506,292217.249896004,295685.473472265,3468.22357626131
10.02509022,5.6209804359049,6.25184564866246,1260058.91712865,1279628.29552157,19569.3783929155
6.659035206,3.62256568698043,2.90106606786039,351116.01190678,344556.891238547,-6559.12066823378
2.888418913,1.71083617822641,0.701319635531242,27236.4435668548,26487.4647037356,-748.978863119199
6.554675102,1.75853836742223,1.6260804872989,318703.861036496,317555.424790254,-1148.43624624179
1.043151975,0.677170225222428,0.334454666393555,1246.83428546604,1234.85717219688,-11.9771132691571
6.278750896,3.17086433496576,2.58411598212951,290889.024430641,286417.586360885,-4471.43806975515
4.705030918,3.98610034586086,3.61342321285173,125018.079402493,123823.002721504,-1195.07668098884
6.75162077,2.60949255953681,2.50321147115883,356366.750469155,355359.689657536,-1007.06081161898
8.431538582,1.17785836489195,1.77532134617071,667634.745860231,678660.468876883,11025.7230166512
2.851264,1.27371423998628,0.98794399153369,25886.8913583114,25682.9501978836,-203.941160427818
4.013717175,0.296099041829465,0.794817421990229,70265.572885599,71258.3945753003,992.821689701319
6.693441868,1.50161274521119,1.61787597670162,337004.827905894,338078.239938225,1073.41203233151
8.00566864,2.01671759253671,2.93205627173024,584744.732659157,599204.131170642,14459.3985114854
16.91004944,4.92146997301107,5.05641892970023,5943150.63383728,5963240.62496298,20089.9911257038
9.05489254,2.02915664114977,2.39114377188249,846387.623852588,854661.682870871,8274.0590182821
11.35249996,2.74344327186718,2.63134165020896,1700167.17207816,1695117.51363266,-5049.65844549984
15.15060997,6.66918447851084,6.09461303973422,4461500.40334376,4399981.30384774,-61519.0994960247
4.211890221,0.739480885722009,0.751152510113879,82215.7364213447,82242.5860333377,26.8496119929623
20.59454918,4.24545006226945,4.9184794638882,10554113.593848,10735108.5562045,180994.962356487
13.61069012,5.21187981659715,5.05453392487482,3121550.72417801,3109336.34413678,-12214.3800412319
9.692931175,8.27105008278444,7.85832875581133,1213216.7655172,1201645.04649461,-11571.7190225874
6.047336102,1.73951449856218,1.68807014181376,250150.465078644,249800.19290053,-350.272178114654
6.091644764,0.769434055777539,1.40167726202198,248938.093137116,253338.202401243,4400.10926412648
3.581141949,0.390238135499109,1.03486421932279,50040.734325297,50952.216256452,911.481931154922
2.548799992,2.04993601704446,2.07653130077063,18887.318986669,18900.8767322761,13.5577456070641
20.7176609,11.7080356481912,10.9266491316318,12787608.9157269,12573682.8739417,-213926.041785296
3.935368061,2.96567816535782,2.47919897795858,71239.8199731675,70326.977337246,-912.842635921566
13.75343037,3.72385123866969,4.51995371491271,3101610.25436886,3165374.56305358,63764.3086847225
3.721492052,1.09096753297848,0.119273924271264,57269.7640489858,55727.8640251718,-1541.900023814
8.815410614,2.49361683400601,2.05602762917108,790788.885741181,781559.56328782,-9229.32245336054
7.694552898,1.36726239157944,1.36885527944278,510077.727527765,510100.068957065,22.3414292996167
12.88799,1.98166188422565,2.11666812121077,2437348.19701992,2446246.04507587,8897.84805594385
7.370109081,1.46390839492738,1.58965428989547,449428.433868146,450978.289139523,1549.85527137609
1.42037499,0.552552580219876,0.875657232185675,3136.57313832816,3165.07858445438,28.5054461262125
15.93564987,10.27378081485,9.88513842538075,5640682.85994405,5592261.7114234,-48421.1485206476
10.26813984,3.89913598522083,3.88842046452495,1296554.74960467,1296197.58847754,-357.161127126776
5.204402924,1.09760697090038,1.61437643734517,156663.105129939,158905.877325748,2242.77219580911
7.642580986,3.85515583670481,3.15229918001794,534003.84634109,524344.171839343,-9659.67450174713
1.282407045,0.712491163517088,0.192167507601839,2318.85404079857,2285.06881404086,-33.7852267577109
2.84780407,3.05081956342021,2.33640556415103,27056.3940877944,26548.4032763522,-507.99081144224
7.288458824,1.27972782595327,1.34170377044405,432460.768359401,433199.532572376,738.764212974813
4.08313179,1.23409138051516,1.38828964931773,75940.4471544088,76263.6203053603,323.173150951436
7.539864063,10.622311006584,10.8852392592001,602065.040659773,605534.832207139,3469.79154736584
6.173521996,1.32782700929724,1.19319395572449,263156.439602263,262181.166431591,-975.273170672124
7.920543194,2.72690776420952,2.89372348642146,577153.976121778,579705.95726892,2551.98114714259
1.215422034,0.933176066713791,0.518540514285051,1986.33503493728,1963.41456937669,-22.9204655605915
9.674724579,3.54911128962642,2.97372784693809,1074745.86487666,1058704.22461415,-16041.6402625132
4.703918934,4.8409147452112,5.39049618427517,127668.680162108,129429.792762449,1761.11260034067
10.62602997,1.01886096575959,1.38479634193721,1330511.60178861,1344028.99935352,13517.397564905
7.151123047,3.42187193134007,4.35069259679158,432590.376918498,443047.93303329,10457.5561147924
2.341007948,4.23583957124457,3.93874933450076,15497.6980913024,15380.3509198071,-117.347171495305
1.649924994,-0.238603454430599,0.820768421600656,4806.90348337988,4953.39639986595,146.492916486071
1.882256985,0.207305342451209,0.879692853196076,7228.44899225691,7366.49758124078,138.048588983876
5.115495205,2.48443935461489,2.42506898308065,154486.184428379,154241.49883819,-244.685590189853
4.835111141,0.44537358926495,0.769975531969342,123354.365475586,124484.021129338,1129.65565375138
3.821779966,2.9186939932834,3.23756578243194,65166.7392719602,65714.749568631,548.010296670756
6.79945612,2.22183156459248,1.66797928733284,360243.246112589,354882.909615428,-5360.33649716101
4.452732086,0.810902095009237,1.01879400949586,97335.3372731761,97900.3950748265,565.057801650342
13.32320976,4.2154466814452,4.37288704548081,2855349.95917678,2866813.48630867,11463.5271318881
6.472420216,2.35187594972624,2.13989197894834,311808.620038857,310039.005321578,-1769.61471727904
8.446805954,5.62817434992244,5.710416901461,753842.19241768,755368.175466485,1525.98304880445
0.70794481,-0.641148153709079,-0.0555805860604473,375.32926739142,381.725891095756,6.39662370433553
3.411062002,1.37551824205407,1.55633008935353,44448.1420088522,44669.0804601526,220.938451300419
11.12497997,1.81946563767563,1.41962849489505,1560812.64915855,1543863.1671591,-16949.4819994553
7.502353191,6.64067522287523,7.13517744224218,541359.624127798,547788.519292778,6428.89516498009
8.762577057,2.25183890140458,2.19240290350399,771647.312688096,770416.135129901,-1231.17755819543
16.41764069,2.35227193951775,2.43350732332869,5088910.86729366,5099978.45718896,11067.5898952987
6.200417042,1.38447409998667,1.40330613546994,267026.514762982,267164.723516177,138.208753194369
5.393910885,3.12082240866709,4.17636350476661,184182.83099421,189282.735325396,5099.9043311862
12.85416985,8.00146566069302,8.06993386216164,2811842.18693561,2816319.28496925,4477.09803363867
6.871551037,10.8849488839456,10.2530070561867,458363.643783121,452050.916715185,-6312.72706793592
4.184656143,1.28002523594226,1.24970364620275,81850.7181650038,81782.3101669403,-68.4079980634851
2.461985111,1.67846887453144,0.306807163603205,16851.6738858903,16221.4732111185,-630.200674771766
1.704419017,0.702634331265573,1.01270400070963,5442.58169867956,5489.84934544684,47.2676467672864
3.204119921,0.976173280941515,0.373576032417855,36434.8372773626,35824.5574534833,-610.279823879355
4.795229912,4.19993904965568,4.75790793522854,133072.794587108,134966.942402026,1894.14781491828
7.118608952,11.3501202581506,10.7499431039059,514768.372694848,508102.754239094,-6665.61845575448
6.590144157,4.30489298035962,4.1779986914117,346343.422190265,345225.266180717,-1118.15600954782
5.180219173,1.45340139476316,1.07664776313937,156012.014296937,154399.597054255,-1612.4172426817
1.057137012,0.223900751230757,-0.0352681396728743,1281.17030953465,1271.74377013671,-9.42653939794423
2.758857012,1.23703110762867,1.49688989194201,23426.9508707224,23594.9474970286,167.996626306191
4.18820715,0.24028300444243,0.497549451092642,79707.5445597776,80289.4376381482,581.893078370646
6.538943768,4.24569354067956,4.86789020100677,337823.92052986,343179.741670196,5355.82114033611
4.911218166,1.40097019868689,0.869505937883996,132756.63048447,130818.346859006,-1938.28362546384
8.097082138,9.94255240640666,10.7094858185582,734545.917961365,747080.760267381,12534.8423060152
19.45853996,6.18554588161146,5.8954534390457,9342243.00804845,9276440.45437979,-65802.5536686573
9.50904274,6.93866827659571,7.42565332510766,1110198.4470987,1123089.89231705,12891.4452183493
10.44604969,1.43574816948626,1.47040699902045,1278673.11929592,1279889.43338025,1216.31408432964
1.705167055,0.465851719316556,0.201709064701672,5413.6076240007,5373.28814428923,-40.3194797114684
6.523115158,3.29263795533985,3.87696298435498,327232.178688247,332225.565472665,4993.38678441796
16.94887924,2.09765018517433,2.34516566599095,5560898.13059729,5598000.43674597,37102.3061486809
7.436988831,1.18804965670116,0.919062372021738,458281.311103378,454874.886975456,-3406.42412792193
2.244108915,0.811650095347034,1.214177328273,12460.3920523814,12600.4483502807,140.056297899255
4.550278187,1.93377783297971,1.97160364117822,107130.506902691,107240.224842314,109.717939622511
7.102149963,5.32531730003023,4.87626046637864,444757.099858957,439804.349865182,-4952.74999377568
8.206486702,2.5134560335798,3.22097372444688,638314.144942141,650352.986404069,12038.8414619275
8.496644974,0.871255093321782,1.9081373445702,677430.225175313,697011.791951165,19581.566775852
7.126551151,0.592922610215931,1.36255049382143,396622.595102516,405198.78907798,8576.19397546351
7.16553688,1.65392588966801,2.10154881930008,415185.603269965,420255.908607411,5070.30533744663
10.13729,4.28159007847683,3.99135207577684,1259883.10690085,1250574.2689477,-9308.83795314375
3.119028091,0.168990747905917,0.434171113439803,32854.3852625649,33102.1130963196,247.72783375471
11.93118954,3.81350763856643,3.12363204463036,2029596.51719984,1993522.24337248,-36074.2738273563
10.43799973,3.5435419437956,3.44759714785265,1349519.13510633,1346159.83465004,-3359.3004562913
7.212101936,2.30365142739992,2.6228139136886,430836.505960909,434522.655846103,3686.14988519362
8.296034813,3.74701037469323,3.24866793775629,681122.893973502,672362.671196212,-8760.2227772905
1.044082999,0.113886495772347,0.244459303590803,1230.43748935501,1235.01293496538,4.57544561037184
2.94498992,1.15370440141375,1.05199962677304,28430.1939410632,28350.2163422074,-79.9775988558067
12.94499016,3.0252225286408,2.76441157368009,2539525.15927045,2522106.82644051,-17418.3328299318
6.112587929,0.39860695940491,1.48148211284,248907.000628045,256521.289145253,7614.28851720816
1.243477941,0.428001135386587,0.459891152063461,2097.18376801787,2099.07151847495,1.88775045707462
10.13755035,1.95242443507104,2.28254328169399,1185270.81754594,1195859.57433811,10588.7567921726
9.17930603,1.74247975288396,1.71491245999762,874930.572737455,874274.126370305,-656.446367150056
1.805271029,2.26753093939241,2.36678527637748,6750.46111908454,6768.43957179738,17.9784527128404
5.137403965,2.06044759155344,2.34271732510104,154709.645641416,155887.986791899,1178.341150483
7.497190952,0.743891338206586,1.13866813155009,463738.47539613,468860.278910321,5121.80351419107
2.662029982,0.758998319130623,0.622744130378823,20768.2428763248,20689.1086662538,-79.1342100709771
2.406302929,1.63676623852306,1.24763344297657,15716.0576817679,15549.1315556775,-166.926126090399
5.205776215,3.16875962328792,2.79471649919744,165783.045214669,164158.417933999,-1624.62728066999
16.28424072,5.88177856333274,6.06312903680336,5435104.56836588,5459214.54648996,24109.9781240802
8.224299431,4.02822014185911,4.36111227534672,668422.513017503,674123.838766429,5701.32574892626
8.657233238,1.22333612862401,1.67282706568549,723604.704810899,732583.826879408,8979.12206850911
8.365274429,7.44825166697971,7.31199078733809,765025.599168293,762569.831097824,-2455.76807046961
15.48618031,11.752958157369,12.3087690144526,5345860.36941877,5409413.29421499,63552.9247962162
19.55069923,4.03795833060802,3.88533873372749,8981514.20950925,8946400.81893633,-35113.3905729204
5.094305992,0.294127245513268,0.810654977400936,143659.090047698,145761.533421101,2102.44337340334
4.534211159,0.118554716146257,1.00811244101161,100789.998864412,103343.023121922,2553.02425750984
